# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000     1942.895     5259.594
       1.023        8.800     1942.895     5259.594
       2.054       18.400     1942.895     5259.594
       3.085       10.700     1942.895     5259.594
       4.118       18.400     1942.895     5259.594
       5.148        8.700     1942.895     5259.594
       6.178       10.700     1942.895     5259.594
       7.209       17.500     1942.895     5259.594
       8.239        8.700     1942.895     5259.594
       9.267        8.700     1942.895     5259.594
      10.299       19.400     1942.895     5259.594
      11.330        9.700     1942.895     5259.594
      12.359       18.500     1944.895     5259.594
      13.390        9.700     1944.895     5259.594
      14.419        8.700     1944.895     5259.594
      15.447       18.500     1944.895     5259.594
      16.478        9.700     1944.895     5259.594
      17.509        9.700     1944.895     5259.594
      18.541       17.400     1944.895     5259.594
      19.571       10.700     1944.895     5259.594
      20.602       15.500     1944.895     5259.594
      21.630       11.700     1944.895     5259.594
      22.659        9.700     1944.895     5259.594
      23.690       18.400     1944.895     5259.594
      24.720       10.700     1944.895     5259.594
      25.750       10.700     1944.895     5259.594
      26.781       17.400     1944.895     5259.594
      27.811        9.700     1944.895     5259.594
      28.842       14.500     1944.895     5259.594
      29.871       11.700     1944.895     5259.594
      30.902       10.700     1944.895     5259.594
      31.931       16.500     1944.895     5259.594
      32.962        9.700     1944.895     5259.594
      33.991        8.700     1944.895     5259.594
      35.022       19.400     1944.895     5259.594
      36.053        9.700     1944.895     5259.594
      37.082       12.600     1944.895     5259.594
      38.111       14.600     1944.895     5259.594
      39.143       10.700     1944.895     5259.594
      40.175       17.400     1944.895     5259.594
      41.206       10.700     1944.895     5259.594
      42.238        8.700     1944.895     5259.594
      43.268       19.400     1944.895     5259.594
      44.298        8.700     1944.895     5259.594
      45.327       12.600     1944.895     5259.594
      46.359       15.500     1944.895     5259.594
      47.390       10.700     1944.895     5259.594
      48.422       18.400     1944.895     5259.594
      49.451        8.700     1944.895     5259.594
      50.483       11.600     1944.895     5259.594
      51.514       18.400     1944.895     5259.594
      52.542        9.700     1944.895     5259.594
      53.570       11.700     1944.895     5259.594
      54.601       14.600     1944.895     5259.594
      55.631        9.700     1944.895     5259.594
      56.662       17.500     1944.895     5259.594
      57.693        9.700     1944.895     5259.594
      58.722        9.700     1944.895     5259.594
      59.752       19.400     1944.895     5259.594
